"","REALRINC","SIBS","AGE","HAPPY","HEALTH","YOUNGEN"
"10959",13595,8,35,2,2,2
"10961",16994,7,44,2,3,2
"10966",24547,8,43,1,2,1
"10970",9819,3,24,1,1,1
"10972",9819,10,28,3,2,1
"10974",3021,4,19,3,3,1
"10975",11329,1,48,3,3,1
"10977",16994,4,36,2,2,1
"10978",3021,3,21,1,2,2
"10979",9819,7,52,2,3,2
"10980",3021,8,22,2,1,2
"10981",28323,13,40,2,3,1
"10986",5287,6,57,2,3,2
"10987",3021,1,55,2,4,2
"10988",3021,0,58,1,3,2
"10990",11329,2,49,2,4,2
"10991",20770,2,30,1,1,2
"10993",56647,2,40,1,1,1
"10994",56647,4,32,2,2,1
"10995",20770,2,43,3,2,1
"10996",6798,8,39,2,2,1
"10997",13595,1,49,1,1,1
"10998",56647,2,57,2,3,2
"11001",56647,1,34,2,2,2
"11002",28323,1,32,2,3,2
"11003",3021,1,23,2,2,2
"11004",755,4,19,1,1,2
"11007",28323,5,33,2,2,2
"11008",56647,6,50,2,3,1
"11009",28323,6,33,2,2,2
"11010",3021,2,21,2,3,2
"11011",3021,10,66,2,3,1
"11012",16994,4,55,2,1,1
"11014",755,7,79,2,2,2
"11018",16994,7,56,2,3,1
"11019",9819,4,44,3,1,1
"11021",24547,0,36,1,1,2
"11023",16994,2,24,2,1,2
"11025",3021,2,61,2,3,2
"11028",13595,2,29,1,2,2
"11029",28323,4,34,1,1,1
"11030",3021,17,63,1,3,1
"11032",13595,4,58,1,2,2
"11033",52510.1445,4,37,1,1,1
"11034",52510.1445,3,57,2,2,2
"11035",3021,0,38,2,1,2
"11036",16994,7,54,2,2,1
"11038",16994,3,27,2,1,1
"11043",8308,0,49,2,1,2
"11044",3021,7,68,2,2,2
"11045",8308,4,22,2,2,1
"11046",16994,4,23,2,3,2
"11047",3021,10,55,2,2,1
"11048",56647,4,33,1,2,2
"11050",24547,6,37,2,1,2
"11052",20770,2,34,2,2,2
"11054",20770,5,52,2,3,2
"11055",139297,2,55,2,1,2
"11057",20770,8,45,1,1,2
"11060",9819,7,32,2,2,2
"11061",52510.1445,1,30,2,2,1
"11063",32100,6,59,3,3,2
"11064",3021,10,76,1,2,1
"11065",3021,2,32,2,2,2
"11068",24547,0,49,2,2,2
"11069",32100,7,48,2,2,2
"11070",16994,3,36,1,1,1
"11071",9819,2,39,2,4,1
"11072",20770,4,35,2,2,1
"11074",139297,1,55,3,1,2
"11075",139297,5,32,1,2,2
"11078",20770,1,27,1,1,2
"11079",32100,2,39,1,1,2
"11080",56647,0,30,2,1,2
"11081",16994,9,25,2,2,2
"11084",56647,1,23,1,2,1
"11085",56647,2,66,3,3,1
"11086",139297,0,41,2,2,2
"11087",24547,0,57,1,1,1
"11088",16994,0,64,3,1,2
"11089",56647,6,33,1,1,2
"11096",9819,5,32,3,2,2
"11097",56647,7,54,2,3,1
"11101",16994,8,36,2,2,1
"11102",6798,9,54,2,1,2
"11103",28323,2,54,1,2,2
"11106",8308,1,28,2,2,2
"11109",16994,2,60,3,4,2
"11110",16994,7,56,1,3,2
"11111",9819,14,35,2,1,1
"11113",13595,6,42,3,3,2
"11114",24547,3,46,2,2,2
"11115",755,6,29,2,2,2
"11116",13595,3,44,2,2,1
"11117",11329,1,33,1,1,2
"11118",32100,3,28,1,1,1
"11119",8308,1,20,3,4,2
"11120",20770,3,24,3,2,2
"11121",3021,4,37,3,2,2
"11122",24547,4,27,2,1,2
"11124",5287,6,45,3,4,2
"11125",8308,6,26,3,3,2
"11126",13595,1,50,1,2,1
"11131",8308,3,58,2,3,2
"11134",28323,6,52,2,3,2
"11142",28323,1,27,2,2,2
"11143",28323,2,49,2,2,2
"11147",3021,2,24,3,1,2
"11148",5287,9,58,1,2,2
"11149",24547,4,56,1,2,2
"11154",3021,3,59,2,2,1
"11157",24547,1,42,2,1,2
"11159",28323,11,69,3,2,1
"11160",32100,3,39,1,1,2
"11161",11329,4,53,2,2,2
"11162",13595,4,51,2,1,1
"11166",13595,2,25,2,1,2
"11170",8308,10,24,3,2,2
"11174",20770,1,56,2,2,1
"11175",24547,1,33,1,1,2
"11176",3021,2,41,2,2,2
"11179",9819,2,24,2,2,2
"11180",52510.1445,5,37,1,1,1
"11181",8308,4,61,2,2,1
"11182",28323,3,51,2,1,2
"11183",56647,10,37,2,3,2
"11184",8308,2,20,2,2,2
"11185",13595,7,33,1,2,2
"11186",755,4,36,1,2,1
"11187",28323,3,44,1,2,2
"11188",139297,1,27,1,1,2
"11189",52510.1445,4,39,2,2,1
"11190",24547,2,27,2,1,2
"11193",56647,2,36,1,1,1
"11195",8308,2,22,2,1,2
"11197",6798,2,68,1,2,2
"11200",24547,2,30,2,2,1
"11201",3021,2,31,1,1,2
"11202",32100,4,61,1,2,1
"11204",13595,6,28,1,2,1
"11205",16994,1,26,1,2,2
"11206",16994,2,41,1,1,1
"11207",20770,3,54,2,2,2
"11209",20770,0,20,1,2,2
"11211",6798,5,53,3,2,1
"11212",13595,8,24,2,1,1
"11215",20770,2,43,2,3,1
"11217",56647,2,36,2,2,2
"11219",32100,2,34,1,2,1
"11220",16994,10,36,3,1,1
"11221",24547,1,45,2,2,1
"11223",139297,3,45,1,1,2
"11224",56647,2,40,2,1,1
"11226",28323,4,24,1,2,2
"11231",56647,2,36,1,1,2
"11232",16994,4,45,2,2,2
"11233",9819,5,22,1,1,1
"11234",16994,3,33,2,1,2
"11236",24547,16,46,2,2,2
"11238",32100,12,53,1,2,2
"11239",8308,1,42,2,2,2
"11241",28323,6,28,3,1,2
"11242",24547,6,49,2,1,2
"11243",32100,9,50,2,2,2
"11245",20770,4,27,2,2,2
"11247",13595,3,30,2,2,2
"11248",13595,4,26,1,3,2
"11250",20770,1,34,2,2,2
"11251",8308,9,26,3,2,1
"11253",16994,14,52,1,1,2
"11254",16994,2,29,2,2,1
"11255",13595,1,41,3,3,1
"11257",13595,3,21,3,2,1
"11258",11329,1,21,2,2,1
"11259",56647,1,36,2,2,2
"11260",16994,1,31,2,3,1
"11261",9819,2,46,1,3,1
"11263",16994,8,59,1,3,1
"11264",24547,5,59,1,1,1
"11266",20770,0,44,2,1,1
"11267",24547,6,40,1,3,2
