"","REALRINC","SIBS","AGE","HAPPY","HEALTH","YOUNGEN"
"12003",6798,9,22,3,3,1
"12004",11329,3,26,2,2,2
"12005",52510.1445,0,34,1,2,2
"12006",8308,8,31,3,1,1
"12007",16994,6,33,2,2,1
"12008",3021,7,27,2,2,2
"12011",16994,4,46,1,2,2
"12013",16994,12,45,2,1,2
"12014",24547,4,45,1,2,2
"12015",28323,1,53,1,2,2
"12017",16994,9,45,1,3,1
"12019",9819,1,52,2,2,1
"12020",13595,3,20,2,1,2
"12021",20770,1,27,2,1,2
"12022",16994,2,27,2,1,1
"12023",16994,3,48,2,2,2
"12025",16994,1,28,2,2,1
"12026",56647,3,30,2,3,1
"12027",13595,7,23,2,2,2
"12028",5287,5,38,2,2,2
"12030",28323,4,53,1,2,1
"12036",755,0,50,2,1,2
"12037",3021,2,33,2,2,2
"12038",8308,4,26,2,3,1
"12040",24547,1,65,1,2,1
"12042",24547,5,35,1,2,1
"12043",139297,6,55,1,2,1
"12048",28323,6,68,3,1,2
"12049",11329,14,46,2,1,2
"12051",139297,6,57,1,1,1
"12052",52510.1445,1,37,1,1,2
"12053",56647,2,29,2,2,2
"12055",3021,4,21,1,1,2
"12056",6798,2,41,1,2,2
"12057",24547,4,30,2,1,2
"12058",24547,12,29,2,3,1
"12067",9819,7,66,2,1,1
"12068",13595,3,34,1,1,1
"12070",3021,2,32,1,2,2
"12071",32100,2,46,2,1,1
"12074",3021,7,26,2,2,2
"12075",139297,3,40,1,1,2
"12077",20770,0,33,2,2,2
"12078",3021,4,31,2,2,2
"12079",20770,5,24,2,2,2
"12080",16994,1,47,1,1,1
"12081",24547,3,28,2,2,2
"12082",9819,3,25,2,2,1
"12083",6798,6,66,1,2,1
"12084",28323,6,54,3,2,1
"12087",56647,9,32,2,2,1
"12089",16994,6,50,2,3,2
"12093",8308,4,30,1,1,2
"12097",8308,9,49,1,1,1
"12099",24547,5,40,2,2,2
"12100",11329,8,39,2,3,1
"12102",755,7,28,1,2,2
"12103",5287,5,60,2,3,1
"12104",13595,3,54,1,2,1
"12106",28323,1,42,2,3,2
"12109",13595,4,45,1,1,1
"12112",13595,0,39,1,1,2
"12116",13595,3,28,1,1,1
"12117",6798,3,20,2,2,2
"12118",13595,4,66,2,1,2
"12120",8308,2,24,3,2,2
